waterpoint_id,latitude,longitude,waterpoint_image,functional_status,downtime_duration,abandon_reason,has_current_issue,current_issue,water_available_today,continuous_30days,no_water_30days_reason,repair_duration_days,seasonal_unavailable,seasonal_period,flow_test_possible,fill_time_20l,latrine_within_100m,observed_issues,water_quality_issues,preventive_maintenance,maintenance_barrier,user_population,universal_access,households_no_access,access_barrier,max_roundtrip_minutes,max_distance_metres,has_service_provider,provider_type,has_tariff,tariff_frequency,tariff_amount_mwk,tariff_cost_basis,has_financial_records,has_positive_balance,savings_or_loans,record_balance_mwk,has_bank_account,bank_balance_mwk,committee_year_formed,committee_member_count,committee_women_count,treasurer_gender,months_unavailable
420749561,-16.5772305,34.9476496,https://api.mwater.co/v3/images/203626003b2d4115acbe1844799c7228,Functional,NA,NA,No,NA,Yes,Yes,NA,NA,No,NA,Yes,38.001,Yes,No problems,NA,No,"Other, Don't know",198,0,NA,NA,30,450,Yes,Water Point Committee,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023,11,6,Male,0
12194559,-16.5746127,34.9453809,https://api.mwater.co/v3/images/77c54675954546268bb62d9fb086e879,Not functional,1 - 2 years,NA,NA,NA,NA,NA,NA,NA,Don't know,NA,NA,NA,No,Damage or problem with pump,NA,No,Other,0,Don't know,NA,NA,0,0,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
420749578,-16.5742423,34.9451486,https://api.mwater.co/v3/images/51def6c22d964a6f8edb104688d70679,Functional,NA,NA,No,NA,Yes,Yes,NA,NA,No,NA,Yes,45.991,Yes,No problems,NA,No,Lack of technical expertise,412,0,NA,NA,45,450,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
3783993,-16.3520151,34.8524878,https://api.mwater.co/v3/images/f639f345f6cc46bca23d2595c99f5751,No longer exists or abandoned,More than 5 years,Lack of parts,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,Damage or problem with pump,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
23358889,-16.4773066,34.7980962,https://api.mwater.co/v3/images/853dc1f25a164ed0a3620a084e1e499e,Functional,NA,NA,No,NA,Yes,Yes,NA,NA,No,NA,Yes,52.831,No,Damage or problem with pump,NA,Yes,NA,298,0,NA,NA,45,1000,Yes,Water Point Committee,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,10,5,Male,0
25958298,-15.1751097,35.43101049999999,https://api.mwater.co/v3/images/81e94c2375884b4eaa180b9379326864,Partially functional but in need of repair,NA,NA,NA,NA,Yes,Yes,NA,NA,Yes,"11, 12",Yes,90.06,No,"Damage to civil works - platform, well head, riser etc, Damage or problem with pump",NA,Sometimes,NA,89,1,6,"Community conflicts, Long distance",50,600,Yes,Water Point Committee,Yes,Per year,600,Affordability,Yes,NA,NA,NA,No,NA,2019,10,8,Female,2
420749592,-16.5741324,34.9406861,https://api.mwater.co/v3/images/c1eb8e81243b432295b537d36a7a3d8a,Not functional,More than 5 years,NA,NA,NA,NA,NA,NA,NA,Don't know,NA,NA,NA,Yes,Other,NA,Sometimes,NA,NA,NA,NA,NA,NA,NA,Don't know,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
23362062,-16.4715344,34.8055315,https://api.mwater.co/v3/images/ddca75545cd347f3a686789960a9e3f9,Partially functional but in need of repair,NA,NA,NA,NA,Yes,No,Parts are not available,7,No,NA,Yes,65.26,No,"Damage or problem with pump, Damage to civil works - platform, well head, riser etc",NA,Yes,NA,419,0,NA,NA,50,1000,Yes,Water Point Committee,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019,10,6,Male,0
23040586,-16.5707335,34.9418821,https://api.mwater.co/v3/images/e71f887780fa4af98bb4b34bae3ebe59,Partially functional but in need of repair,NA,NA,NA,NA,No,No,System is not functional,15,No,NA,NA,NA,No,"Damage to civil works - platform, well head, riser etc, Leakage from pump/ pedestal, Damage or problem with pump",NA,No,Lack of technical expertise,516,Don't know,NA,NA,45,450,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
25958243,-15.1768388,35.4290924,https://api.mwater.co/v3/images/94db9f76f75746ab909dbd0150cf198e,Not functional,2 - 5 years,NA,NA,NA,NA,NA,NA,NA,Yes,"11, 10, 12",NA,NA,No,"Damage or problem with pump, Damage to civil works - platform, well head, riser etc",NA,Sometimes,NA,NA,NA,NA,NA,NA,NA,Yes,Water Point Committee,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020,10,8,Male,3
420749626,-16.5731084,34.9387285,https://api.mwater.co/v3/images/4634511295024c5286744f3ab66053cd,Functional,NA,NA,No,NA,Yes,Yes,NA,NA,No,NA,No,NA,Yes,No problems,NA,Sometimes,NA,139,0,NA,NA,25,200,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
25958250,-15.1775393,35.431065,https://api.mwater.co/v3/images/3929845e35ec4fe7a6fe5a686af0edf0,Partially functional but in need of repair,NA,NA,NA,NA,Yes,Yes,NA,NA,Yes,"12, 11, 10, 09",Yes,223.041,Yes,"Damage to civil works - platform, well head, riser etc",NA,No,"Lack of technical expertise, Parts not available",21,0,NA,NA,50,300,Yes,Water Point Committee,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,10,9,Female,4
30411142,-16.4785372,34.7825942,https://api.mwater.co/v3/images/c693a1d6222a434b9f4ddc675535cf61,Partially functional but in need of repair,NA,NA,NA,NA,Yes,Yes,NA,NA,No,NA,Yes,65.571,No,"Damage to civil works - platform, well head, riser etc, Damage or problem with pump",NA,Yes,NA,458,0,NA,NA,40,700,Yes,Water Point Committee,Yes,Per month,200,Maintenance costs,Yes,Yes,Yes,57000,No,NA,2022,10,6,Female,0
15840736,-16.478505,34.7821639,https://api.mwater.co/v3/images/eaf1fc5a101841c6bdf9453eda4357d8,Not functional,6 - 12 months,NA,NA,NA,NA,NA,NA,NA,Yes,"09, 10, 11, 08, 12",NA,NA,No,Damage or problem with pump,NA,Yes,NA,526,0,NA,NA,50,1200,Yes,Water Point Committee,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020,10,5,Female,5
443880261,-16.3977246,34.7792022,https://api.mwater.co/v3/images/e74f2c66486e4a1bbb8ab343085a5116,Functional,NA,NA,No,NA,Yes,Yes,NA,NA,No,NA,Yes,73.331,Yes,No problems,NA,No,"Lack of understanding/commitment to Preventative Maintenance, Lack of technical expertise",650,0,NA,NA,30,900,Yes,Water Point Committee,Yes,Per month,500,"Operation costs, Maintenance costs",No,NA,NA,NA,No,NA,2017,6,4,Female,0
18495751,-16.4767456,34.91068179999999,https://api.mwater.co/v3/images/a7ee25922668490bab598bb77fbfb7d0,Functional,NA,NA,No,NA,Yes,Yes,NA,NA,No,NA,Yes,52.255,No,No problems,NA,Yes,NA,129,0,NA,NA,25,600,Yes,Water Point Committee,Yes,When required for repairs,200,Maintenance costs,No,NA,NA,NA,No,NA,2021,10,5,Male,0
18495809,-16.4730038,34.9128692,https://api.mwater.co/v3/images/3e0f47f9ee8041498ec1449efe00f79c,Functional,NA,NA,No,NA,Yes,Yes,NA,NA,No,NA,Yes,46.5,No,No problems,NA,Yes,NA,214,0,NA,NA,30,500,Yes,Water Point Committee,Yes,When required for repairs,300,"Maintenance costs, Affordability",No,NA,NA,NA,No,NA,2019,10,5,Male,0
572188151,-16.352678,34.8510329,https://api.mwater.co/v3/images/dcee83298ab64cf5aad79e23bc02ee0c,Partially functional but in need of repair,NA,NA,NA,NA,Yes,No,Low water pressure,25,No,NA,Yes,74.651,No,"Water quality, Leakage from pump/ pedestal",Salinity / saltiness,No,Parts not available,112,1,13,Inadequate water supply / low pressure,12,100,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
18495775,-16.4698433,34.9165901,https://api.mwater.co/v3/images/4545f6d7b38246d0bc16b9e96fcad28d,Functional,NA,NA,No,NA,Yes,Yes,NA,NA,No,NA,Yes,77.672,No,No problems,NA,Yes,NA,251,0,NA,NA,30,750,Yes,Water Point Committee,Yes,When required for repairs,300,"Affordability, Maintenance costs",No,NA,NA,NA,No,NA,2021,10,6,Female,0
12200098,-16.4703002,34.9138852,https://api.mwater.co/v3/images/3588994afb324bf8a1698bd67f49a8f2,No longer exists or abandoned,2 - 5 years,Other,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Damage or problem with pump,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
12198371,-16.4688626,34.903243399999994,https://api.mwater.co/v3/images/907d6e8546ae4b778a1adc5903933085,Functional,NA,NA,No,NA,Yes,Yes,NA,NA,No,NA,Yes,45.431,No,No problems,NA,Yes,NA,236,0,NA,NA,25,350,Yes,Water Point Committee,Yes,When required for repairs,300,"Affordability, Maintenance costs",No,NA,NA,NA,No,NA,2019,10,5,Female,0
10593242,-16.468221,34.9029488,https://api.mwater.co/v3/images/ba810597068849d694f3850128a44ce4,No longer exists or abandoned,2 - 5 years,Low water flow or dry,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Damage or problem with pump,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
243391921,-16.4677738,34.9078241,https://api.mwater.co/v3/images/5d20faf90f834c05a7b27ec59ff8df45,Functional,NA,NA,No,NA,Yes,Yes,NA,NA,No,NA,Yes,48.461,No,No problems,NA,Yes,NA,178,0,NA,NA,30,750,Yes,Water Point Committee,Yes,Per month,300,"Affordability, Maintenance costs",Yes,NA,NA,NA,No,NA,2019,10,5,Male,0
60564395,-16.4691214,34.90790629999999,https://api.mwater.co/v3/images/4684b08121bb4c1d85edf5f3dfb4c888,Functional,NA,NA,No,NA,Yes,Yes,NA,NA,No,NA,Yes,43.55,No,No problems,NA,Yes,NA,161,0,NA,NA,30,650,Yes,Water Point Committee,Yes,When required for repairs,300,"Affordability, Maintenance costs",No,NA,NA,NA,No,NA,2018,10,6,Female,0
243391897,-16.4711071,34.9056596,https://api.mwater.co/v3/images/848d8c26578b48508f8fc935810078b1,Functional,NA,NA,No,NA,Yes,Yes,NA,NA,No,NA,Yes,51.526,Yes,No problems,NA,Yes,NA,184,0,NA,NA,40,600,Yes,Water Point Committee,Yes,When required for repairs,300,"Affordability, Maintenance costs",No,NA,NA,NA,No,NA,2017,10,6,Female,0
12198364,-16.4718916,34.9033524,https://api.mwater.co/v3/images/602181add88941a7924378f95ce20a05,Partially functional but in need of repair,NA,NA,NA,NA,Yes,Yes,NA,NA,No,NA,Yes,52.352,No,"Damage to civil works - platform, well head, riser etc",NA,Yes,NA,265,0,NA,NA,45,600,Yes,Water Point Committee,Yes,When required for repairs,300,"Affordability, Maintenance costs",No,NA,NA,NA,No,NA,2020,10,6,Female,0
60563947,-16.4711514,34.9020122,https://api.mwater.co/v3/images/287497f41c554005b6a404d238f951df,Functional,NA,NA,No,NA,Yes,Yes,NA,NA,No,NA,Yes,49.45,No,No problems,NA,Yes,NA,252,0,NA,NA,35,500,Yes,Water Point Committee,Yes,When required for repairs,300,Maintenance costs,No,NA,NA,NA,No,NA,2018,10,5,Female,0
443880302,-16.3969134,34.78245119999999,https://api.mwater.co/v3/images/d9bb3dc82ea54217a3c3475e6ebb87c1,Functional,NA,NA,No,NA,Yes,Yes,NA,NA,No,NA,Yes,69.131,Yes,No problems,NA,No,Lack of technical expertise,1231,0,NA,NA,25,980,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
12198388,-16.4716469,34.9002987,https://api.mwater.co/v3/images/1391e50fcf314d4e80e92fa80218248c,Functional,NA,NA,No,NA,Yes,Yes,NA,NA,No,NA,Yes,44.431,No,No problems,NA,Yes,NA,218,0,NA,NA,30,700,Yes,Water Point Committee,Yes,When required for repairs,250,"Affordability, Maintenance costs",No,NA,NA,NA,No,NA,2019,10,5,Female,0
56945135,-16.4769757,34.902547199999994,https://api.mwater.co/v3/images/70fdbed0e92545479d6bdd93b61b215e,Functional,NA,NA,No,NA,Yes,Yes,NA,NA,No,NA,Yes,48.404,No,No problems,NA,Yes,NA,262,0,NA,NA,35,600,Yes,Water Point Committee,Yes,When required for repairs,300,Maintenance costs,No,NA,NA,NA,No,NA,2018,10,6,Male,0
18495902,-16.4803465,34.9020712,https://api.mwater.co/v3/images/dddd6f363de1461681d801e025d202db,Functional,NA,NA,No,NA,Yes,Yes,NA,NA,No,NA,Yes,41.891,No,No problems,NA,Yes,NA,214,0,NA,NA,25,650,Yes,Water Point Committee,Yes,When required for repairs,300,"Affordability, Maintenance costs",No,NA,NA,NA,No,NA,2019,10,6,Female,0
12202258,-16.4751187,34.89847029999999,https://api.mwater.co/v3/images/2858235ddd894e8e99a7eb437d388f45,Partially functional but in need of repair,NA,NA,NA,NA,Yes,Yes,NA,NA,No,NA,Yes,44.52,No,"Damage to civil works - platform, well head, riser etc",NA,Yes,NA,169,0,NA,NA,30,700,Yes,Water Point Committee,Yes,When required for repairs,300,"Affordability, Maintenance costs",No,NA,NA,NA,No,NA,2018,10,5,Male,0
55236962,-16.4765633,34.7641223,https://api.mwater.co/v3/images/4fdd03f698344de4b78eca4196faae38,Functional,NA,NA,No,NA,Yes,Yes,NA,NA,No,NA,No,NA,No,No problems,NA,Yes,NA,317,0,NA,NA,40,500,Yes,Water Point Committee,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015,10,6,Female,0
12199774,-16.4680143,34.88698329999999,https://api.mwater.co/v3/images/2c9fa301c9ca44f08186d704f8137fe5,Functional,NA,NA,No,NA,Yes,Yes,NA,NA,No,NA,Yes,48.761,Yes,No problems,NA,Yes,NA,135,0,NA,NA,25,500,Yes,Water Point Committee,Yes,When required for repairs,300,Maintenance costs,No,NA,NA,NA,No,NA,2019,10,5,Female,0
10593163,-16.4710785,34.8856749,https://api.mwater.co/v3/images/f55839af10244a979045fb4730e1f511,Functional,NA,NA,No,NA,Yes,Yes,NA,NA,No,NA,Yes,49.3,No,No problems,NA,Yes,NA,184,0,NA,NA,40,750,Yes,Water Point Committee,Yes,When required for repairs,300,"Affordability, Maintenance costs",No,NA,NA,NA,No,NA,2019,10,5,Female,0
55236979,-16.4740909,34.76498219999999,https://api.mwater.co/v3/images/84aa16841fc747eabab029398c88fc06,Functional,NA,NA,No,NA,Yes,Yes,NA,NA,No,NA,Yes,61.631,No,No problems,NA,Yes,NA,341,0,NA,NA,40,700,Yes,Water Point Committee,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,10,6,Male,0
243391873,-16.4665214,34.8861357,https://api.mwater.co/v3/images/66a0aadf7d4643b09e73a98c9eb76ab5,Functional,NA,NA,No,NA,Yes,Yes,NA,NA,No,NA,Yes,46.71,Yes,No problems,NA,Yes,NA,178,0,NA,NA,30,500,Yes,Water Point Committee,Yes,When required for repairs,300,Maintenance costs,No,NA,NA,NA,No,NA,2020,10,6,Female,0
56943865,-16.4670063,34.8851926,https://api.mwater.co/v3/images/1be1418e4cde4173922dc636404310fa,Functional,NA,NA,No,NA,Yes,Yes,NA,NA,No,NA,Yes,47.751,Yes,No problems,NA,Yes,NA,264,0,NA,NA,30,650,Yes,Water Point Committee,Yes,When required for repairs,300,"Affordability, Maintenance costs",No,NA,NA,NA,No,NA,2018,10,5,Male,0
12203785,-16.4709637,34.8820714,https://api.mwater.co/v3/images/041e6fc3ad92417484ab3c03452952a6,Partially functional but in need of repair,NA,NA,NA,NA,Yes,Yes,NA,NA,No,NA,Yes,42.033,No,"Damage to civil works - platform, well head, riser etc, Damage or problem with pump",NA,Yes,NA,266,0,NA,NA,30,600,Yes,Water Point Committee,Yes,When required for repairs,300,"Affordability, Maintenance costs",No,NA,NA,NA,No,NA,2019,10,5,Female,0
243391866,-16.4762965,34.8847046,https://api.mwater.co/v3/images/3e887285a9e44f5191d4bac67adbfb01,Functional,NA,NA,No,NA,Yes,Yes,NA,NA,No,NA,Yes,45.57,No,No problems,NA,Yes,NA,182,0,NA,NA,25,600,Yes,Water Point Committee,Yes,When required for repairs,300,"Maintenance costs, Affordability",No,NA,NA,NA,No,NA,2019,10,5,Male,0
25011313,-16.4749725,34.883524699999995,https://api.mwater.co/v3/images/b6479293ee5b4566b3640317fabb4b3f,Partially functional but in need of repair,NA,NA,NA,NA,Yes,Yes,NA,NA,No,NA,Yes,44.481,Yes,"Damage to civil works - platform, well head, riser etc, Damage or problem with pump",NA,Yes,NA,278,0,NA,NA,30,600,Yes,Water Point Committee,Yes,When required for repairs,300,"Affordability, Maintenance costs",No,NA,NA,NA,No,NA,2018,10,5,Male,0
243391859,-16.4728607,34.88002019999999,https://api.mwater.co/v3/images/7fee8830e62543ec9ed8e48e6034f711,Functional,NA,NA,No,NA,Yes,Yes,NA,NA,No,NA,Yes,46.56,No,No problems,NA,Yes,NA,202,0,NA,NA,30,600,Yes,Water Point Committee,Yes,When required for repairs,300,"Affordability, Maintenance costs",No,NA,NA,NA,No,NA,2019,10,5,Male,0
19346164,-16.4747488,34.8792089,https://api.mwater.co/v3/images/dff02eb857e642269553f6d417a9d4cb,Functional,NA,NA,No,NA,Yes,Yes,NA,NA,No,NA,Yes,45.48,Yes,No problems,NA,Yes,NA,264,0,NA,NA,30,800,Yes,Water Point Committee,Yes,When required for repairs,250,"Affordability, Maintenance costs",No,NA,NA,NA,No,NA,2019,10,5,Female,0
419912138,-15.1536012,35.5238416,https://api.mwater.co/v3/images/125cb071f3d0489e9a7aaed4ba586d51,Functional,NA,NA,No,NA,Yes,Yes,NA,NA,Yes,"10, 11",Yes,70.562,Yes,Other,NA,Yes,NA,38,0,NA,NA,38,500,Yes,"Area or Water Mechanic, Water Point Committee",No,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,10,6,Female,2
419912114,-15.1570358,35.5204449,https://api.mwater.co/v3/images/ec512c82747c4887bac4f614cce6d148,Functional,NA,NA,No,NA,Yes,Yes,NA,NA,Yes,"10, 11",Yes,58.811,Yes,Water quality,Bad colour,Yes,NA,52,0,NA,NA,40,900,Yes,"Area or Water Mechanic, Water Point Committee",No,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019,10,7,Female,2
419912097,-15.1605163,35.51603119999999,https://api.mwater.co/v3/images/04cd2d0d2fa44ef68ffc2f57bee2ae85,Functional,NA,NA,No,NA,Yes,Yes,NA,NA,No,NA,Yes,73.041,Yes,Other,NA,Yes,NA,60,0,NA,NA,45,800,Yes,"Area or Water Mechanic, Water Point Committee",No,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019,10,6,Female,0
419912073,-15.1578794,35.5183705,https://api.mwater.co/v3/images/f119e9abc332496c8d8bf75d56a083ff,Functional,NA,NA,No,NA,Yes,Yes,NA,NA,No,NA,Yes,51.133,Yes,"Damage to civil works - platform, well head, riser etc",NA,Yes,NA,50,0,NA,NA,30,600,Yes,"Area or Water Mechanic, Water Point Committee",No,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019,10,5,Female,0
419912011,-15.1579592,35.5119003,https://api.mwater.co/v3/images/3456c1fc98704416bf8ae4f1f4a33a60,Functional,NA,NA,No,NA,Yes,Yes,NA,NA,Yes,"10, 11",Yes,107.141,Yes,"Damage to civil works - platform, well head, riser etc, Other, Water quality",Bad colour,Yes,NA,50,0,NA,NA,20,500,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
575971439,-15.22087486,35.44652547,https://api.mwater.co/v3/images/3970bb47b9864822998724f96091da5f,Functional,NA,NA,No,NA,Yes,Yes,NA,NA,No,NA,Yes,102.451,Yes,No problems,NA,No,Lack of technical expertise,70,0,NA,NA,35,500,Yes,Area or Water Mechanic,Yes,When required for repairs,500,"Affordability, Maintenance costs",Yes,Yes,No,0,No,NA,NA,NA,NA,NA,0
575378720,-15.2029033,35.42117,https://api.mwater.co/v3/images/f0c98691fad640f1a7b70fd82c77d207,Not functional,6 - 12 months,NA,NA,NA,NA,NA,NA,NA,Yes,"09, 10, 11, 12",NA,NA,Yes,Damage or problem with pump,NA,Sometimes,NA,150,0,NA,NA,40,300,Yes,Water Point Committee,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,10,8,Female,4
10983182,-15.206392,35.430249399999994,https://api.mwater.co/v3/images/0a5350e0abad4b01acdc17fd473657e0,Not functional,1 - 2 years,NA,NA,NA,NA,NA,NA,NA,Yes,"11, 10, 12",NA,NA,Yes,"Damage to civil works - platform, well head, riser etc, Damage or problem with pump",NA,Sometimes,NA,300,1,30,Long distance,60,700,Yes,Water Point Committee,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019,10,8,Female,3
12199712,-16.3377389,34.859679099999994,https://api.mwater.co/v3/images/d1e533fdbe784e899c30faea9e7fa5be,Partially functional but in need of repair,NA,NA,NA,NA,Yes,Yes,NA,NA,No,NA,Yes,42.52,No,"Damage to civil works - platform, well head, riser etc, Leakage from pump/ pedestal",NA,No,Parts not available,350,0,NA,NA,40,500,Yes,Area or Water Mechanic,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
572188182,-16.3517734,34.8525969,https://api.mwater.co/v3/images/8bb179492c524cd6b623dbd2722fdca3,No longer exists or abandoned,More than 5 years,Lack of parts,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Damage or problem with pump,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
572188168,-16.3538893,34.8519656,https://api.mwater.co/v3/images/ae8fcb98575242b6872674df7e640561,Not functional,More than 5 years,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,Other,NA,No,Parts not available,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
572188144,-16.3516179,34.8510061,https://api.mwater.co/v3/images/da19cd1a614940898204dc34fbeb2502,Not functional,More than 5 years,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,Other,NA,No,"Parts not available, Other",NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
572188137,-16.3535384,34.84715760000001,https://api.mwater.co/v3/images/69707ba9e14a41d5b53e4dfff8d611d4,Functional,NA,NA,No,NA,Yes,Yes,NA,NA,No,NA,Yes,39.203,Yes,No problems,NA,Yes,NA,130,0,NA,NA,12,200,Yes,Area or Water Mechanic,Yes,Per day,10,"Operation costs, Maintenance costs",Yes,NA,NA,NA,Yes,NA,NA,NA,NA,NA,0
4029540,-16.3528066,34.8481394,https://api.mwater.co/v3/images/79a00c1d83ae4f65b7269da3040ca926,Partially functional but in need of repair,NA,NA,NA,NA,Yes,Yes,NA,NA,No,NA,No,NA,No,Water quality,Salinity / saltiness,Yes,NA,130,0,NA,NA,12,100,Yes,Area or Water Mechanic,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
3783993,-16.3506989,34.8488618,https://api.mwater.co/v3/images/0146ac2a109443b5aad35b2d1e1ce275,Partially functional but in need of repair,NA,NA,NA,NA,Yes,Yes,NA,NA,No,NA,Yes,49.471,No,Water quality,Salinity / saltiness,Yes,NA,120,0,NA,NA,16,100,Yes,Area or Water Mechanic,Yes,"Flat fee plus fee per unit, Per quarter",500,Maintenance costs,Yes,NA,NA,NA,No,NA,NA,NA,NA,NA,0
572188120,-16.3507441,34.8478592,https://api.mwater.co/v3/images/5bb340ad34cd45989f47ebec6244fc9f,Partially functional but in need of repair,NA,NA,NA,NA,Yes,Yes,NA,NA,No,NA,Yes,56.26,No,Leakage from pump/ pedestal,NA,Yes,NA,120,0,NA,NA,20,250,Yes,Area or Water Mechanic,Yes,Per day,10,"Maintenance costs, Operation costs",Yes,NA,NA,NA,Yes,NA,NA,NA,NA,NA,0
572188113,-16.3499706,34.84307079999999,https://api.mwater.co/v3/images/13e73ccd9ffc4ea0b00b583115c3636b,Functional,NA,NA,No,NA,Yes,Yes,NA,NA,No,NA,Yes,54.991,Yes,No problems,NA,Yes,NA,450,0,NA,NA,20,300,Yes,Area or Water Mechanic,Yes,Per day,10,"Operation costs, Maintenance costs",Yes,NA,NA,NA,Yes,NA,NA,NA,NA,NA,0
572188106,-16.3460715,34.8337409,https://api.mwater.co/v3/images/7c8492fdfa8a4ccdaee25caf31fe308f,Partially functional but in need of repair,NA,NA,NA,NA,Yes,Yes,NA,NA,No,NA,Yes,43.1,Yes,"Leakage from pump/ pedestal, Other",NA,Yes,NA,450,0,NA,NA,20,300,Yes,Area or Water Mechanic,Yes,"Per day, Per unit of water - litre / bucket / jerry can",10,Operation costs,Yes,NA,NA,NA,Yes,NA,NA,NA,NA,NA,0
572188096,-16.3438769,34.8325179,https://api.mwater.co/v3/images/b803a6a4c3b240769dc3e1dd5586d5b2,Partially functional but in need of repair,NA,NA,NA,NA,Yes,Yes,NA,NA,No,NA,Yes,52.441,No,Other,NA,Yes,NA,450,1,12,Failure to pay,12,160,Yes,Area or Water Mechanic,Yes,Per day,10,"Operation costs, Maintenance costs",Yes,NA,NA,NA,Yes,NA,NA,NA,NA,NA,0
572188089,-16.3420905,34.83159469999999,https://api.mwater.co/v3/images/28f66125968a4994b5d8a5b56938cb44,Partially functional but in need of repair,NA,NA,NA,NA,Yes,Yes,NA,NA,No,NA,Yes,35.031,Yes,Other,NA,Yes,NA,450,0,NA,NA,14,250,Yes,Area or Water Mechanic,Yes,"Flat fee plus fee per unit, Per day",10,"Operation costs, Maintenance costs",Yes,NA,NA,NA,Yes,NA,NA,NA,NA,NA,0
55235466,-16.3435361,34.832946299999996,https://api.mwater.co/v3/images/3d54187ddd92440298679c9c2b7782c0,Partially functional but in need of repair,NA,NA,NA,NA,No,No,Parts are not available,20,No,NA,NA,NA,No,"Damage to civil works - platform, well head, riser etc, Leakage from pump/ pedestal",NA,Yes,NA,450,0,NA,NA,20,300,Yes,Area or Water Mechanic,Yes,"Flat fee plus fee per unit, Per month",500,"Operation costs, Maintenance costs",Yes,NA,NA,NA,Yes,NA,NA,NA,NA,NA,0
12203826,-16.3338505,34.8276302,https://api.mwater.co/v3/images/4aab61094e7d4c578f197effa416a4c9,Functional,NA,NA,No,NA,Yes,Yes,NA,NA,No,NA,Yes,51.76,No,No problems,NA,Yes,NA,200,0,NA,NA,12,100,Yes,Area or Water Mechanic,Yes,"Flat fee plus fee per unit, Per month",500,"Operation costs, Maintenance costs",No,NA,NA,NA,Yes,NA,NA,NA,NA,NA,0
572188072,-16.3370645,34.8321192,https://api.mwater.co/v3/images/e0dd3ec4d0644331a05117e3da4d4b91,NA,NA,NA,NA,NA,NA,Yes,NA,NA,No,NA,NA,NA,Yes,Other,NA,NA,NA,150,NA,NA,NA,20,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
572188041,-16.3366154,34.8291601,https://api.mwater.co/v3/images/fbba7c5c580b42da9557c5b5a5c4a98c,No longer exists or abandoned,2 - 5 years,Low water flow or dry,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Damage or problem with pump,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
